     0/599     4.61G    0.1106   0.03577    0.0599    0.2063         8       640         0         0  0.002408 0.0003566    0.1105   0.02841   0.05714
   103/599     6.06G   0.02844   0.01486  0.001417   0.04472        11       640    0.6931    0.9918    0.8858    0.5201   0.02764   0.01334  0.001903
   104/599     6.06G   0.02914   0.01512  0.001447   0.04571        21       640    0.6861    0.9677    0.8476    0.5274   0.02759   0.01396  0.001829
   105/599     6.06G   0.02755   0.01494  0.001261   0.04374        15       640    0.6105    0.9964    0.8621    0.5404    0.0267   0.01316  0.001942
   106/599     6.06G   0.02866   0.01518  0.001501   0.04534        10       640    0.7033         1    0.8624     0.552    0.0273   0.01403  0.002189
   107/599     6.06G   0.02776   0.01525  0.001436   0.04445        15       640    0.7471    0.9909    0.9816    0.5082   0.02764   0.01291  0.001979
   108/599     6.06G   0.02789   0.01459  0.001347   0.04383        20       640    0.6682    0.9909     0.984     0.502   0.02723   0.01315  0.002032
   109/599     6.06G   0.02814   0.01529  0.001388   0.04483        29       640    0.7179    0.9909    0.9881    0.5254   0.02784   0.01389  0.001901
   110/599     6.06G   0.02746   0.01499  0.001466   0.04391        23       640    0.7268    0.9932    0.9908    0.5673   0.02645   0.01508  0.002032
   111/599     6.06G   0.02693   0.01441  0.001361    0.0427        21       640    0.5833         1    0.9915     0.585   0.02689     0.013  0.001926
   112/599     6.06G   0.02825   0.01483  0.001326   0.04441        12       640     0.695         1     0.993    0.5846   0.02497   0.01255  0.001828
   113/599     6.06G   0.02809   0.01445   0.00143   0.04397        20       640    0.6257    0.9921    0.9889    0.5249   0.02713    0.0129  0.002037
   114/599     6.06G   0.02808    0.0143  0.001647   0.04402        10       640    0.6784    0.9918    0.9898    0.5078   0.02796   0.01387  0.001992
   115/599     6.06G   0.02746   0.01395   0.00141   0.04282        14       640     0.663    0.9836     0.876    0.5289   0.02962   0.01378  0.002053
   116/599     6.06G   0.02727   0.01449  0.001419   0.04318        11       640    0.6807    0.9909    0.9829    0.5416   0.02569   0.01208   0.00179
   117/599     6.06G   0.02669    0.0138  0.001346   0.04184        11       640    0.5983    0.9909    0.9787    0.4543   0.02643   0.01284  0.001918
   118/599     6.06G   0.02684   0.01469   0.00137   0.04289        16       640    0.5837    0.9909    0.9783    0.4786   0.02606   0.01295  0.001801
   119/599     6.06G   0.02623   0.01415  0.001263   0.04165        23       640    0.6465    0.9836    0.9796    0.5532   0.02686   0.01281  0.001782
   120/599     6.06G    0.0271   0.01392  0.001298   0.04232        24       640    0.6786    0.9909    0.8814    0.4906   0.02597   0.01306  0.001908
   121/599     6.06G   0.02678   0.01373  0.001219   0.04173        15       640    0.6795    0.9955    0.9859    0.6064   0.02489   0.01272  0.001921
   122/599     6.06G   0.02706   0.01339  0.001243    0.0417         9       640    0.6831    0.9781    0.8772    0.5009   0.02825   0.01605   0.00185
   123/599     6.06G   0.02644   0.01424  0.001254   0.04194        17       640     0.553    0.7909    0.7843    0.4681    0.0278   0.01362   0.00182
   124/599     6.06G    0.0265   0.01381  0.001347   0.04165        14       640     0.601    0.7918    0.7857    0.5126   0.02772   0.01283  0.001796
   125/599     6.06G   0.02599   0.01396  0.001225   0.04118        11       640    0.6268    0.7909     0.783    0.4831   0.02574   0.01255  0.001721
   126/599     6.06G   0.02636   0.01438  0.001307   0.04205        10       640    0.5927    0.7873    0.6824    0.4037   0.02764   0.01327  0.001726
   127/599     6.06G   0.02557   0.01414   0.00123   0.04094         7       640    0.7059    0.9839    0.8799    0.5207   0.02584   0.01383  0.001623
   128/599     6.06G   0.02604   0.01435  0.001149   0.04153        14       640     0.668    0.9802    0.8822    0.5618   0.02436    0.0131  0.001689
   129/599     6.06G   0.02521   0.01397   0.00126   0.04044        15       640    0.6824    0.9918    0.9862    0.5068   0.02381   0.01257  0.001685
   130/599     6.06G   0.02656    0.0144  0.001188   0.04215        18       640    0.6969    0.9836    0.8805     0.536   0.02547   0.01386  0.001658
   131/599     6.06G    0.0266    0.0138  0.001392   0.04179        14       640      0.71    0.9909    0.8841    0.6485   0.02256   0.01241  0.001674
   132/599     6.06G    0.0258   0.01391  0.001255   0.04097        12       640    0.7355    0.9924    0.8874    0.5984   0.02231   0.01214  0.001806
   133/599     6.06G   0.02498   0.01329  0.001262   0.03954        12       640    0.6395    0.7909    0.7833    0.5506    0.0235   0.01248  0.001728
   134/599     6.06G   0.02613   0.01377  0.001254   0.04115        23       640    0.7208    0.9905    0.8814    0.5312   0.02354   0.01211  0.001606
   135/599     6.06G   0.02619   0.01395  0.001167    0.0413        16       640    0.6356    0.7955    0.8559    0.5345   0.02246   0.01239  0.001722
   136/599     6.06G   0.02527    0.0136  0.001298   0.04018        16       640    0.7053    0.9909    0.8823    0.6441     0.024   0.01217  0.001645
   137/599     6.06G   0.02486   0.01418  0.001218   0.04026        25       640    0.6483    0.7909    0.7826    0.5476   0.02453   0.01218  0.001772
   138/599     6.06G   0.02535   0.01377  0.001159   0.04028        14       640    0.7348    0.9779    0.8823    0.5898   0.02441   0.01216  0.001646
   139/599     6.06G   0.02553   0.01373  0.001236   0.04049        16       640    0.7502    0.9862    0.8841    0.5898   0.02649   0.01344  0.001656
   140/599     6.06G   0.02436   0.01327  0.001139   0.03876        12       640    0.6929    0.9955    0.8886    0.5656   0.02362   0.01279   0.00158
